"","ID","Electorate","Party","PartyVotes","MPName","MPParty","MPVotes"
"51",4,"Christchurch Central","Maori Party","      123","DAVIDSON, Lenis","MAOR","84"
"52",4,"Christchurch Central","Green Party","    4445","MOORHOUSE, David","GP","2214"
"53",4,"Christchurch Central","National Party","   13128","WAGNER, Nicky","NAT","13463"
"54",4,"Christchurch Central","Ban1080","       22"," "," "," "
"55",4,"Christchurch Central","Internet MANA","      247"," "," "," "
"56",4,"Christchurch Central","The Civilian Party","       30"," "," "," "
"57",4,"Christchurch Central","New Zealand First Party","    2126","ABRAHAM, George","NZF","1095"
"58",4,"Christchurch Central","Conservative","      915","COOKE, Michael","CNSP","515"
"59",4,"Christchurch Central","Labour Party","    7571","MILNE, Tony","LAB","11295"
"60",4,"Christchurch Central","ACT New Zealand","      147","SEVERIN, Toni","ACT","111"
"61",4,"Christchurch Central","Aotearoa Legalise Cannabis Party","      119"," "," "," "
"62",4,"Christchurch Central","Focus New Zealand","        1"," "," "," "
"63",4,"Christchurch Central","NZ Independent Coalition","        3"," "," "," "
"64",4,"Christchurch Central","United Future","       66"," "," "," "
"65",5,"Christchurch East","Conservative","      950","BAKER, Leighton","CNSP","1142"
"66",5,"Christchurch East","Maori Party","       94","MATAKI, Tania","MAOR","153"
"67",5,"Christchurch East","United Future","       64","PARK, Sam","UFNZ","139"
"68",5,"Christchurch East","Labour Party","    9100","WILLIAMS, Poto","LAB","13700"
"69",5,"Christchurch East","Ban1080","       29"," "," "," "
"70",5,"Christchurch East","Focus New Zealand","        1"," "," "," "
"71",5,"Christchurch East","New Zealand First Party","    2725"," "," "," "
"72",5,"Christchurch East","The Civilian Party","       17"," "," "," "
"73",5,"Christchurch East","National Party","   11560","HAYES, Jo","NAT","10034"
"74",5,"Christchurch East","Green Party","    3444","MATHERS, Mojo","GP","2700"
"75",5,"Christchurch East","Aotearoa Legalise Cannabis Party","      140","WILKINSON, Robert","ALCP","373"
"76",5,"Christchurch East","ACT New Zealand","       93"," "," "," "
"77",5,"Christchurch East","Democrats for Social Credit","       19"," "," "," "
"78",5,"Christchurch East","Internet MANA","      228"," "," "," "
"79",5,"Christchurch East","NZ Independent Coalition","       11"," "," "," "
"80",6,"Clutha-Southland","National Party","   19716","BARCLAY, Todd","NAT","19686"
"81",6,"Clutha-Southland","Labour Party","    4526","CRAIG, Liz","LAB","6103"
"82",6,"Clutha-Southland","Democrats for Social Credit","       65","JOBSIS, Jason","NZDSC","77"
"83",6,"Clutha-Southland","Ban1080","      231","VEINT, James","BAN","817"
"84",6,"Clutha-Southland","Focus New Zealand","        2"," "," "," "
"85",6,"Clutha-Southland","Maori Party","       97"," "," "," "
"86",6,"Clutha-Southland","The Civilian Party","       10"," "," "," "
"87",6,"Clutha-Southland","Conservative","    1564","ASHTON, Lachie","CNSP","1316"
"88",6,"Clutha-Southland","NZ Independent Coalition","       30","BARKLEY, Karl","NZIC","159"
"89",6,"Clutha-Southland","Green Party","    2151","GOLDSMITH, Rachael","GP","1935"
"90",6,"Clutha-Southland","ACT New Zealand","      109","NICOLSON, Don","ACT","431"
"91",6,"Clutha-Southland","Aotearoa Legalise Cannabis Party","      159"," "," "," "
"92",6,"Clutha-Southland","Internet MANA","      109"," "," "," "
"93",6,"Clutha-Southland","New Zealand First Party","    1927"," "," "," "
"94",6,"Clutha-Southland","United Future","       58"," "," "," "
"95",7,"Coromandel","Green Party","    3189","DELAHUNTY, Catherine","GP","5382"
"96",7,"Coromandel","New Zealand First Party","    4356","ERTEL, Grant","NZF","2929"
"97",7,"Coromandel","Maori Party","      152","PAKINGA, Hiria","MAOR","151"
"98",7,"Coromandel","National Party","   18738","SIMPSON, Scott","NAT","20165"
"99",7,"Coromandel","Aotearoa Legalise Cannabis Party","      123"," "," "," "
"100",7,"Coromandel","Focus New Zealand","        6"," "," "," "
"101",7,"Coromandel","NZ Independent Coalition","       14"," "," "," "
"102",7,"Coromandel","United Future","       60"," "," "," "
"103",7,"Coromandel","Ban1080","      100","DOWNARD, Mike","BAN","373"
"104",7,"Coromandel","ACT New Zealand","      122","OLSEN, David Edward","ACT","140"
"105",7,"Coromandel","Labour Party","    5320","POSCHL, Korbinian","LAB","3858"
"106",7,"Coromandel","Conservative","    1817","WALKDEN, David","CNSP","1037"
"107",7,"Coromandel","Democrats for Social Credit","       17"," "," "," "
"108",7,"Coromandel","Internet MANA","      210"," "," "," "
"109",7,"Coromandel","The Civilian Party","        6"," "," "," "
"110",8,"Dunedin North","Conservative","      839","DALEY, Jonathan","CNSP","549"
"111",8,"Dunedin North","Aotearoa Legalise Cannabis Party","      131","GRAY, Abe","ALCP","466"
"112",8,"Dunedin North","Democrats for Social Credit","       32","MOWAT, Miriam","NZDSC","100"
"113",8,"Dunedin North","Green Party","    6718","TUREI, Metiria","GP","5008"
"114",8,"Dunedin North","ACT New Zealand","      101"," "," "," "
"115",8,"Dunedin North","Focus New Zealand","        1"," "," "," "
"116",8,"Dunedin North","Maori Party","      100"," "," "," "
"117",8,"Dunedin North","NZ Independent Coalition","        6"," "," "," "
"118",8,"Dunedin North","United Future","       74"," "," "," "
"119",8,"Dunedin North","Labour Party","    9822","CLARK, David ","LAB","14580"
"120",8,"Dunedin North"," "," ","GRAAMANS, Adrian Daegal","IND","99"
"121",8,"Dunedin North"," "," ","LUSBY, Stan","IND","54"
"122",8,"Dunedin North"," "," ","STEWART, Rob","IP","199"
"123",8,"Dunedin North","National Party","    9798","WOODHOUSE, Michael ","NAT","9182"
"124",8,"Dunedin North","Ban1080","       52"," "," "," "
"125",8,"Dunedin North","Internet MANA","      485"," "," "," "
"126",8,"Dunedin North","New Zealand First Party","    2134"," "," "," "
"127",8,"Dunedin North","The Civilian Party","       19"," "," "," "
"128",9,"Dunedin South","Labour Party","   11539","CURRAN, Clare ","LAB","16943"
"129",9,"Dunedin South","Conservative","    1021","KERR, Cindy","CNSP","669"
"130",9,"Dunedin South","ACT New Zealand","      109","NICHOLLS, Colin William","ACT","138"
"131",9,"Dunedin South","National Party","   13842","WALKER, Hamish","NAT","13242"
"132",9,"Dunedin South","Focus New Zealand","        7"," "," "," "
"133",9,"Dunedin South","Maori Party","       78"," "," "," "
"134",9,"Dunedin South","NZ Independent Coalition","        5"," "," "," "
"135",9,"Dunedin South","United Future","       48"," "," "," "
"136",9,"Dunedin South","Aotearoa Legalise Cannabis Party","      154","CRAWFORD, Julian","ALCP","395"
"137",9,"Dunedin South","Green Party","    4027","GALLAGHER, Shane","GP","2482"
"138",9,"Dunedin South"," "," ","LEPINE, Andrew","IP","145"
"139",9,"Dunedin South","Democrats for Social Credit","       73","VOIGHT, Warren","NZDSC","215"
"140",9,"Dunedin South","Ban1080","       63"," "," "," "
"141",9,"Dunedin South","Internet MANA","      246"," "," "," "
"142",9,"Dunedin South","New Zealand First Party","    3199"," "," "," "
"143",9,"Dunedin South","The Civilian Party","       20"," "," "," "
"144",10,"East Coast","Labour Party","    7053","MACKEY, Moana","LAB","9250"
"145",10,"East Coast"," "," ","SALMON, Patrick","IP","214"
"146",10,"East Coast","New Zealand First Party","    3806","TAKOKO, Mere","NZF","2271"
"147",10,"East Coast","ACT New Zealand","       77"," "," "," "
"148",10,"East Coast","Ban1080","      105"," "," "," "
"149",10,"East Coast","Internet MANA","      345"," "," "," "
"150",10,"East Coast","NZ Independent Coalition","       18"," "," "," "
"151",10,"East Coast","United Future","       69"," "," "," "
"152",10,"East Coast","Conservative","    1352","DRAYSON, Rick","CNSP","713"
"153",10,"East Coast","Green Party","    2739","MACLEAN, Gavin","GP","2363"
"154",10,"East Coast","Democrats for Social Credit","       27","SMITH, Harry Alchin","NZDSC","78"
"155",10,"East Coast","National Party","   15723","TOLLEY, Anne","NAT","16745"
"156",10,"East Coast","Aotearoa Legalise Cannabis Party","      122"," "," "," "
"157",10,"East Coast","Focus New Zealand","        9"," "," "," "
"158",10,"East Coast","Maori Party","      341"," "," "," "
"159",10,"East Coast","The Civilian Party","       10"," "," "," "
"160",11,"East Coast Bays","Conservative","    1999","CRAIG, Colin","CNSP","4556"
"161",11,"East Coast Bays","Labour Party","    3494","MILNER-WHITE, Greg","LAB","3418"
"162",11,"East Coast Bays","ACT New Zealand","      503"," "," "," "
"163",11,"East Coast Bays","Democrats for Social Credit","       15"," "," "," "
"164",11,"East Coast Bays","Internet MANA","      171"," "," "," "
"165",11,"East Coast Bays","New Zealand First Party","    1735"," "," "," "
"166",11,"East Coast Bays","The Civilian Party","       17"," "," "," "
"167",11,"East Coast Bays","Ban1080","       41","CHEEL, Tricia","BAN","203"
"168",11,"East Coast Bays","National Party","   18566","McCULLY, Murray ","NAT","17907"
"169",11,"East Coast Bays","Green Party","    2207","MOORE, Teresa","GP","2708"
"170",11,"East Coast Bays","Aotearoa Legalise Cannabis Party","       78"," "," "," "
"171",11,"East Coast Bays","Focus New Zealand","        3"," "," "," "
"172",11,"East Coast Bays","Maori Party","      105"," "," "," "
"173",11,"East Coast Bays","NZ Independent Coalition","        2"," "," "," "
"174",11,"East Coast Bays","United Future","       61"," "," "," "
"175",12,"Epsom","Green Party","    3415","GENTER, Julie Anne","GP","2219"
"176",12,"Epsom"," "," ","GOODE, Matthew","IND","30"
"177",12,"Epsom"," "," ","HOLLAND, Adam","IND","11"
"178",12,"Epsom","New Zealand First Party","    1080","LYON, Cliff","NZF","514"
"179",12,"Epsom","Conservative","      813","RANKIN, Christine","CNSP","1539"
"180",12,"Epsom","Labour Party","    4020","WOOD, Michael Philip","LAB","2749"
"181",12,"Epsom","Ban1080","        7"," "," "," "
"182",12,"Epsom","Focus New Zealand","        4"," "," "," "
"183",12,"Epsom","Maori Party","      187"," "," "," "
"184",12,"Epsom","The Civilian Party","       15"," "," "," "
"185",12,"Epsom","National Party","   19961","GOLDSMITH, Paul","NAT","9398"
"186",12,"Epsom"," "," ","HADEN, Grace","IND","46"
"187",12,"Epsom"," "," ","KRUGER, Susanna Susara","IND","26"
"188",12,"Epsom"," "," ","O'DEA, Patrick","MANA","75"
"189",12,"Epsom","ACT New Zealand","      881","SEYMOUR, David","ACT","13921"
"190",12,"Epsom","Aotearoa Legalise Cannabis Party","       49"," "," "," "
"191",12,"Epsom","Democrats for Social Credit","       10"," "," "," "
"192",12,"Epsom","Internet MANA","      224"," "," "," "
"193",12,"Epsom","NZ Independent Coalition","        1"," "," "," "
"194",12,"Epsom","United Future","       42"," "," "," "
"195",13,"Hamilton East","Labour Party","    7044","ALLEN, Cliff","LAB","8157"
"196",13,"Hamilton East"," "," ","CALVER, Ray","IP","176"
"197",13,"Hamilton East","Democrats for Social Credit","       28","McKENZIE, Carolyn","NZDSC","68"
"198",13,"Hamilton East","ACT New Zealand","      222","SMITH, Ron","ACT","116"
"199",13,"Hamilton East","United Future","       81","TODD, Quentin","UFNZ","59"
"200",13,"Hamilton East","Ban1080","       23"," "," "," "
"201",13,"Hamilton East","Internet MANA","      267"," "," "," "
"202",13,"Hamilton East","NZ Independent Coalition","        3"," "," "," "
"203",13,"Hamilton East","National Party","   15442","BENNETT, David","NAT","17460"
"204",13,"Hamilton East","Conservative","    1490","DAY, Katrina","CNSP","886"
"205",13,"Hamilton East","Green Party","    3140","SERVIAN, Mark","GP","1993"
"206",13,"Hamilton East","New Zealand First Party","    2172","TAURIMA, Richard","NZF","1149"
"207",13,"Hamilton East","Aotearoa Legalise Cannabis Party","       86"," "," "," "
"208",13,"Hamilton East","Focus New Zealand","        4"," "," "," "
"209",13,"Hamilton East","Maori Party","      176"," "," "," "
"210",13,"Hamilton East","The Civilian Party","       18"," "," "," "
"211",14,"Hamilton West","New Zealand First Party","    3304","GUDGEON, Bill","NZF","2054"
"212",14,"Hamilton West","Conservative","    1409","McKENNA, Tony","CNSP","800"
"213",14,"Hamilton West","ACT New Zealand","      143","MUTI, Sara","ACT","112"
"214",14,"Hamilton West","Maori Party","      145","TE AO, Richard","MAOR","235"
"215",14,"Hamilton West","Ban1080","       31"," "," "," "
"216",14,"Hamilton West","Green Party","    2309"," "," "," "
"217",14,"Hamilton West","NZ Independent Coalition","       12"," "," "," "
"218",14,"Hamilton West","United Future","       74"," "," "," "
"219",14,"Hamilton West","National Party","   14494","MACINDOE, Tim","NAT","15903"
"220",14,"Hamilton West","Labour Party","    7556","MORONEY, Sue","LAB","10442"
"221",14,"Hamilton West","Democrats for Social Credit","       41","RHODES, Mischele","NZDSC","131"
"222",14,"Hamilton West","Aotearoa Legalise Cannabis Party","      131"," "," "," "
"223",14,"Hamilton West","Focus New Zealand","        7"," "," "," "
"224",14,"Hamilton West","Internet MANA","      172"," "," "," "
"225",14,"Hamilton West","The Civilian Party","       11"," "," "," "
"226",15,"Helensville","Conservative","    1473","DOUGHERTY, Deborah ","CNSP","826"
"227",15,"Helensville","Labour Party","    3645","HADDOCK, Corie Jon","LAB","3734"
"228",15,"Helensville","National Party","   17795","KEY, John","NAT","19756"
"229",15,"Helensville"," "," ","WHYTE, Brendan","IND","73"
"230",15,"Helensville","Ban1080","       42"," "," "," "
"231",15,"Helensville","Focus New Zealand","        2"," "," "," "
"232",15,"Helensville","Maori Party","      159"," "," "," "
"233",15,"Helensville","NZ Independent Coalition","        9"," "," "," "
"234",15,"Helensville","United Future","       84"," "," "," "
"235",15,"Helensville"," "," ","BRIGHT, Penny","IND","359"
"236",15,"Helensville","Green Party","    3765","GRAHAM, Kennedy","GP","3570"
"237",15,"Helensville"," "," ","HARRÉ, Laila","IP","1057"
"238",15,"Helensville","ACT New Zealand","      213","PIRRIE, Phelan","ACT","265"
"239",15,"Helensville","Aotearoa Legalise Cannabis Party","      123"," "," "," "
"240",15,"Helensville","Democrats for Social Credit","       19"," "," "," "
"241",15,"Helensville","Internet MANA","      245"," "," "," "
"242",15,"Helensville","New Zealand First Party","    2185"," "," "," "
"243",15,"Helensville","The Civilian Party","        6"," "," "," "
"244",16,"Hunua","ACT New Zealand","      265","CUMMINGS, Ian","ACT","359"
"245",16,"Hunua","Democrats for Social Credit","       18","MITCHELL, Huia","NZDSC","91"
"246",16,"Hunua","New Zealand First Party","    3070","REEVES, Jon","NZF","2636"
"247",16,"Hunua","Aotearoa Legalise Cannabis Party","      102"," "," "," "
"248",16,"Hunua","Focus New Zealand","       16"," "," "," "
"249",16,"Hunua","Internet MANA","      123"," "," "," "
"250",16,"Hunua","The Civilian Party","       13"," "," "," "
"251",16,"Hunua","National Party","   20425","BAYLY, Andrew","NAT","21339"
"252",16,"Hunua","Conservative","    1640","HUDSON, Neville ","CNSP","1269"
"253",16,"Hunua","Maori Party","      127","PHILLIPS, Thomas T T ","MAOR","205"
"254",16,"Hunua","Labour Party","    3975","WILLIAMS, Arena","LAB","5521"
"255",16,"Hunua","Ban1080","       40"," "," "," "
"256",16,"Hunua","Green Party","    1733"," "," "," "
"257",16,"Hunua","NZ Independent Coalition","        4"," "," "," "
"258",16,"Hunua","United Future","       70"," "," "," "
"259",17,"Hutt South","National Party","   15935","BISHOP, Chris","NAT","14671"
"260",17,"Hutt South","Labour Party","    9563","MALLARD, Trevor","LAB","15049"
"261",17,"Hutt South"," "," ","PAJAK, Jan","IND","103"
"262",17,"Hutt South","United Future","      118","STONYER, Dave","UFNZ","96"
"263",17,"Hutt South","Aotearoa Legalise Cannabis Party","      113"," "," "," "
"264",17,"Hutt South","Democrats for Social Credit","       15"," "," "," "
"265",17,"Hutt South","Internet MANA","      223"," "," "," "
"266",17,"Hutt South","NZ Independent Coalition","        7"," "," "," "
"267",17,"Hutt South","Conservative","    1256","COPELAND, Gordon","CNSP","776"
"268",17,"Hutt South","ACT New Zealand","      231","O'SULLIVAN, Grae","ACT","161"
"269",17,"Hutt South","New Zealand First Party","    2644","PARORO, Mataroa","NZF","912"
"270",17,"Hutt South","Green Party","    4182","WALKER, Holly","GP","2693"
"271",17,"Hutt South","Ban1080","       46"," "," "," "
"272",17,"Hutt South","Focus New Zealand","        4"," "," "," "
"273",17,"Hutt South","Maori Party","      169"," "," "," "
"274",17,"Hutt South","The Civilian Party","       18"," "," "," "
"275",18,"Ilam"," "," ","BALLANTINE, Beverley","IP","267"
"276",18,"Ilam","Labour Party","    5348","DANN, James Macbeth","LAB","7023"
"277",18,"Ilam","Conservative","    1170","STRINGER, John","CNSP","1053"
"278",18,"Ilam","Maori Party","      179","WAKEFIELD, Benita","MAOR","205"
"279",18,"Ilam","Ban1080","       14"," "," "," "
"280",18,"Ilam","Focus New Zealand","        3"," "," "," "
"281",18,"Ilam","New Zealand First Party","    1571"," "," "," "
"282",18,"Ilam","The Civilian Party","       20"," "," "," "
"283",18,"Ilam","National Party","   17899","BROWNLEE, Gerry","NAT","17852"
"284",18,"Ilam","Green Party","    3717","KELCHER, John","GP","3492"
"285",18,"Ilam","ACT New Zealand","      308","VEALE, Gareth","ACT","359"
"286",18,"Ilam","Aotearoa Legalise Cannabis Party","       72"," "," "," "
"287",18,"Ilam","Democrats for Social Credit","       12"," "," "," "
"288",18,"Ilam","Internet MANA","      179"," "," "," "
"289",18,"Ilam","NZ Independent Coalition","        7"," "," "," "
"290",18,"Ilam","United Future","       77"," "," "," "
"291",19,"Invercargill","New Zealand First Party","    3525","BOND, Ria","NZF","2349"
"292",19,"Invercargill","National Party","   15628","DOWIE, Sarah","NAT","16256"
"293",19,"Invercargill","Labour Party","    7870","SOPER, Lesley","LAB","9334"
"294",19,"Invercargill","ACT New Zealand","      101"," "," "," "
"295",19,"Invercargill","Ban1080","      146"," "," "," "
"296",19,"Invercargill","Internet MANA","      169"," "," "," "
"297",19,"Invercargill","NZ Independent Coalition","       11"," "," "," "
"298",19,"Invercargill","United Future","       63"," "," "," "
"299",19,"Invercargill","Democrats for Social Credit","       92","DE RUYTER, Stephnie","NZDSC","311"
"300",19,"Invercargill","Green Party","    2243","KENNEDY, David","GP","2179"
"301",19,"Invercargill","Conservative","    1165","STORR, Laura","CNSP","683"
"302",19,"Invercargill","Aotearoa Legalise Cannabis Party","      199"," "," "," "
"303",19,"Invercargill","Focus New Zealand","       10"," "," "," "
"304",19,"Invercargill","Maori Party","       94"," "," "," "
"305",19,"Invercargill","The Civilian Party","       19"," "," "," "
"306",20,"Kaikoura","New Zealand First Party","    3338","CAMPBELL, Steve","NZF","1747"
"307",20,"Kaikoura"," "," ","HOWARD, Ted","MFP","61"
"308",20,"Kaikoura","Democrats for Social Credit","       35","McCASKEY, John","NZDSC","185"
"309",20,"Kaikoura","Ban1080","      157","TOMLINSON, Glen","BAN","478"
"310",20,"Kaikoura","Aotearoa Legalise Cannabis Party","      125"," "," "," "
"311",20,"Kaikoura","Internet MANA","      133"," "," "," "
"312",20,"Kaikoura","NZ Independent Coalition","        6"," "," "," "
"313",20,"Kaikoura","United Future","       77"," "," "," "
"314",20,"Kaikoura","Green Party","    2872","BROWNING, Steffan","GP","2604"
"315",20,"Kaikoura","ACT New Zealand","      124","EVANS, Richard","ACT","123"
"316",20,"Kaikoura","Conservative","    1583","HUDSON, Howard","CNSP","1004"
"317",20,"Kaikoura","National Party","   18963","SMITH, Stuart","NAT","19135"
"318",20,"Kaikoura","Labour Party","    5628","WALKER, Janette","LAB","7625"
"319",20,"Kaikoura","Focus New Zealand","        8"," "," "," "
"320",20,"Kaikoura","Maori Party","      111"," "," "," "
"321",20,"Kaikoura","The Civilian Party","       10"," "," "," "
"322",21,"Kelston","ACT New Zealand","      254","HAYCOCK, Bruce","ACT","207"
"323",21,"Kelston","Aotearoa Legalise Cannabis Party","       75","LYE, Jeff","ALCP","221"
"324",21,"Kelston"," "," ","SAMI, Roshni","IP","188"
"325",21,"Kelston","Conservative","      791","SOMMER, Paul","CNSP","553"
"326",21,"Kelston","Ban1080","       12"," "," "," "
"327",21,"Kelston","Focus New Zealand","        4"," "," "," "
"328",21,"Kelston","Maori Party","       66"," "," "," "
"329",21,"Kelston","The Civilian Party","       13"," "," "," "
"330",21,"Kelston","New Zealand First Party","    2187","DEGIA-PALA, Anne","NZF","1107"
"331",21,"Kelston","Green Party","    2617","IRWIN, Ruth","GP","1647"
"332",21,"Kelston","National Party","    8526","PENK, Christopher","NAT","8520"
"333",21,"Kelston","Labour Party","   10647","SEPULONI, Carmel","LAB","12832"
"334",21,"Kelston","United Future","       42","WOOLSTON, Jason","UFNZ","69"
"335",21,"Kelston","Democrats for Social Credit","        8"," "," "," "
"336",21,"Kelston","Internet MANA","      303"," "," "," "
"337",21,"Kelston","NZ Independent Coalition","        3"," "," "," "
"338",22,"Mana","Democrats for Social Credit","       22","ENGLAND, Ron","NZDSC","87"
"339",22,"Mana","Aotearoa Legalise Cannabis Party","      121","GOODE, Richard","ALCP","332"
"340",22,"Mana","National Party","   13327","PARATA, Hekia","NAT","10578"
"341",22,"Mana","Ban1080","       19"," "," "," "
"342",22,"Mana","Internet MANA","      278"," "," "," "
"343",22,"Mana","New Zealand First Party","    2248"," "," "," "
"344",22,"Mana","The Civilian Party","       28"," "," "," "
"345",22,"Mana","Conservative","      883","BARRY, Roy","CNSP","886"
"346",22,"Mana","Labour Party","   10818","FAAFOI, Kris","LAB","17363"
"347",22,"Mana","Green Party","    3944","LOGIE, Jan","GP","2574"
"348",22,"Mana","ACT New Zealand","       75"," "," "," "
"349",22,"Mana","Focus New Zealand","        3"," "," "," "
"350",22,"Mana","Maori Party","      179"," "," "," "
"351",22,"Mana","NZ Independent Coalition","        3"," "," "," "
"352",22,"Mana","United Future","       89"," "," "," "
"353",23,"Mangere"," "," ","PAPALI'I, James","MANA","445"
"354",23,"Mangere","Labour Party","   15100","SIO, Sua William","LAB","16130"
"355",23,"Mangere","National Party","    3722","TURNER, Misa Fia","NAT","3537"
"356",23,"Mangere","Aotearoa Legalise Cannabis Party","       68"," "," "," "
"357",23,"Mangere","Democrats for Social Credit","        7"," "," "," "
"358",23,"Mangere","Internet MANA","      225"," "," "," "
"359",23,"Mangere","New Zealand First Party","    1737"," "," "," "
"360",23,"Mangere","The Civilian Party","        3"," "," "," "
"361",23,"Mangere","Conservative","      708","SAAFI, Edward","CNSP","1264"
"362",23,"Mangere","Green Party","      865","STRICKSON-PUA, Muamua Sofi","GP","1006"
"363",23,"Mangere","ACT New Zealand","       52"," "," "," "
"364",23,"Mangere","Ban1080","        8"," "," "," "
"365",23,"Mangere","Focus New Zealand","        0"," "," "," "
"366",23,"Mangere","Maori Party","       94"," "," "," "
"367",23,"Mangere","NZ Independent Coalition","        6"," "," "," "
"368",23,"Mangere","United Future","       17"," "," "," "
"369",24,"Manukau East","National Party","    4564","BAKSHI, Kanwal","NAT","3923"
"370",24,"Manukau East","Green Party","      744","PERINPANAYAGAM, Umesh","GP","556"
"371",24,"Manukau East","Conservative","      464","TAUKOLO, Vili M","CNSP","425"
"372",24,"Manukau East"," "," ","VERMUNT, Annalucia ","CL","44"
"373",24,"Manukau East","Aotearoa Legalise Cannabis Party","       53"," "," "," "
"374",24,"Manukau East","Democrats for Social Credit","        2"," "," "," "
"375",24,"Manukau East","Internet MANA","      477"," "," "," "
"376",24,"Manukau East","NZ Independent Coalition","        5"," "," "," "
"377",24,"Manukau East","United Future","       40"," "," "," "
"378",24,"Manukau East","New Zealand First Party","    1755","LOLE-TAYLOR, Asenati","NZF","1668"
"379",24,"Manukau East","Labour Party","   13659","SALESA, Jenny","LAB","15241"
"380",24,"Manukau East"," "," ","TRINDER, Joe","MANA","205"
"381",24,"Manukau East","ACT New Zealand","      158"," "," "," "
"382",24,"Manukau East","Ban1080","        4"," "," "," "
"383",24,"Manukau East","Focus New Zealand","       24"," "," "," "
"384",24,"Manukau East","Maori Party","      263"," "," "," "
"385",24,"Manukau East","The Civilian Party","        4"," "," "," "
"386",25,"Manurewa","National Party","    6564","BROWN, Simeon","NAT","6790"
"387",25,"Manurewa","New Zealand First Party","    2246","HALL, John H","NZF","1786"
"388",25,"Manurewa","Green Party","      868","TUPOU, Trish","GP","925"
"389",25,"Manurewa","ACT New Zealand","      136"," "," "," "
"390",25,"Manurewa","Ban1080","       11"," "," "," "
"391",25,"Manurewa","Focus New Zealand","        1"," "," "," "
"392",25,"Manurewa","NZ Independent Coalition","        0"," "," "," "
"393",25,"Manurewa","United Future","       19"," "," "," "
"394",25,"Manurewa","Maori Party","      122","BHANA, Raewyn","MAOR","199"
